date,open,high,low,close,volume
12/12/1980,0.0984,0.0989,0.0984,0.0984,1605922
12/15/1980,0.0937,0.0937,0.0933,0.0933,601965
12/16/1980,0.0869,0.0869,0.0864,0.0864,361853
12/17/1980,0.0886,0.0891,0.0886,0.0886,296024
12/18/1980,0.0912,0.0916,0.0912,0.0912,251510
12/19/1980,0.0967,0.0972,0.0967,0.0967,166484
12/22/1980,0.1014,0.1018,0.1014,0.1014,127842
12/23/1980,0.1056,0.1061,0.1056,0.1056,160622
12/24/1980,0.1112,0.1116,0.1112,0.1112,164233
12/26/1980,0.1215,0.1219,0.1215,0.1215,190184
12/29/1980,0.1232,0.1237,0.1232,0.1232,318848
12/30/1980,0.1207,0.1207,0.1202,0.1202,235724
12/31/1980,0.1173,0.1173,0.1168,0.1168,122398
1/2/1981,0.1181,0.1189,0.1181,0.1181,74158
1/5/1981,0.1159,0.1159,0.1155,0.1155,122245
1/6/1981,0.1108,0.1108,0.1104,0.1104,154560
1/7/1981,0.1061,0.1061,0.1056,0.1056,190509
1/8/1981,0.104,0.104,0.1035,0.1035,136313
1/9/1981,0.1091,0.1096,0.1091,0.1091,73602
1/12/1981,0.1091,0.1091,0.1083,0.1083,81148
1/13/1981,0.1048,0.1048,0.1044,0.1044,78875
1/14/1981,0.1048,0.1053,0.1048,0.1048,48912
1/15/1981,0.107,0.1078,0.107,0.107,48169
1/16/1981,0.1066,0.1066,0.1061,0.1061,45844
1/19/1981,0.1125,0.1129,0.1125,0.1125,142234
1/20/1981,0.1096,0.1096,0.1091,0.1091,102966
1/21/1981,0.1112,0.112,0.1112,0.1112,54412
1/22/1981,0.1125,0.1133,0.1125,0.1125,121620
1/23/1981,0.1126,0.1129,0.1121,0.1121,38415
1/26/1981,0.1108,0.1108,0.1104,0.1104,84333
1/27/1981,0.1104,0.1104,0.1096,0.1096,81145
1/28/1981,0.1066,0.1066,0.1061,0.1061,96364
1/29/1981,0.1027,0.1027,0.1023,0.1023,150306
1/30/1981,0.0975,0.0975,0.0967,0.0967,158125
2/2/1981,0.0916,0.0916,0.0912,0.0912,81382
2/3/1981,0.0945,0.095,0.0945,0.0945,65529
2/4/1981,0.098,0.0984,0.098,0.098,95393
2/5/1981,0.098,0.0988,0.098,0.098,27146
2/6/1981,0.0984,0.0989,0.0984,0.0984,47474
2/9/1981,0.0941,0.0941,0.0933,0.0933,57345
2/10/1981,0.0933,0.0937,0.0933,0.0933,62788
2/11/1981,0.0907,0.0907,0.0902,0.0902,47361
2/12/1981,0.0899,0.0899,0.0894,0.0894,49837
2/13/1981,0.0881,0.0881,0.0872,0.0872,38160
2/17/1981,0.0894,0.0899,0.0894,0.0894,42016
2/18/1981,0.0933,0.0941,0.0933,0.0933,65854
2/19/1981,0.0882,0.0882,0.0877,0.0877,76354
2/20/1981,0.0834,0.0834,0.083,0.083,83383
2/23/1981,0.0843,0.0848,0.0843,0.0843,48325
2/24/1981,0.0821,0.0821,0.0813,0.0813,58137
