date,open,high,low,close,volume
3/13/1986,0.0541,0.0621,0.0541,0.0594,2189367
3/14/1986,0.0595,0.0626,0.0595,0.0616,654538
3/17/1986,0.0616,0.0632,0.0616,0.0626,282678
3/18/1986,0.0626,0.0631,0.0605,0.061,143821
3/19/1986,0.061,0.0616,0.0594,0.06,101713
3/20/1986,0.06,0.06,0.0578,0.0584,124077
3/21/1986,0.0584,0.0594,0.0557,0.0568,127357
3/24/1986,0.0568,0.0568,0.0546,0.0552,138581
3/25/1986,0.0553,0.0563,0.0547,0.0563,68172
3/26/1986,0.0562,0.0583,0.0557,0.0578,48268
3/27/1986,0.0578,0.0589,0.0578,0.0589,35743
3/31/1986,0.059,0.059,0.0574,0.0584,27335
4/1/1986,0.0583,0.0583,0.0578,0.0578,23523
4/2/1986,0.0578,0.0594,0.0578,0.0584,57360
4/3/1986,0.0589,0.0605,0.0589,0.0589,48880
4/4/1986,0.0589,0.0594,0.0589,0.0589,56395
4/7/1986,0.0589,0.0594,0.0568,0.0578,35132
4/8/1986,0.0578,0.0594,0.0578,0.0584,21770
4/9/1986,0.0584,0.06,0.0584,0.0594,25789
4/10/1986,0.0594,0.0606,0.0584,0.06,29480
4/11/1986,0.0605,0.0621,0.0605,0.061,36551
4/14/1986,0.061,0.0622,0.061,0.0616,25814
4/15/1986,0.0616,0.0616,0.0595,0.0616,19758
4/16/1986,0.0616,0.0642,0.061,0.0637,67735
4/17/1986,0.0637,0.0642,0.0637,0.0642,46713
4/18/1986,0.0642,0.0642,0.0615,0.0621,45903
4/21/1986,0.0621,0.0626,0.0605,0.0621,48653
4/22/1986,0.0621,0.0621,0.061,0.061,33006
4/23/1986,0.061,0.0615,0.0605,0.0613,33125
4/24/1986,0.0613,0.0685,0.061,0.0674,132415
4/25/1986,0.068,0.0746,0.068,0.0717,182248
4/28/1986,0.0716,0.0727,0.0711,0.0722,61318
4/29/1986,0.0722,0.0722,0.0695,0.0701,64411
4/30/1986,0.0701,0.0706,0.0669,0.0685,65625
5/1/1986,0.0685,0.0685,0.0664,0.0674,115412
5/2/1986,0.0674,0.0685,0.0669,0.0674,42997
5/5/1986,0.0674,0.0674,0.0669,0.0669,6910
5/6/1986,0.0674,0.0685,0.0674,0.0674,20673
5/7/1986,0.0674,0.068,0.0664,0.0674,10948
5/8/1986,0.0673,0.0679,0.0669,0.0679,7517
5/9/1986,0.068,0.068,0.0674,0.0674,12905
5/12/1986,0.0673,0.0695,0.0673,0.0679,22246
5/13/1986,0.0679,0.069,0.0679,0.0685,8134
5/14/1986,0.0685,0.0685,0.0679,0.0679,19741
5/15/1986,0.0679,0.0689,0.0679,0.0679,8067
5/16/1986,0.0679,0.0701,0.0679,0.0685,25382
5/19/1986,0.0685,0.0685,0.0669,0.0674,23364
5/20/1986,0.0674,0.0674,0.0663,0.0669,131599
5/21/1986,0.0669,0.0674,0.0658,0.0658,17184
5/22/1986,0.0658,0.0664,0.0658,0.0658,9356
5/23/1986,0.0658,0.0669,0.0658,0.0658,8684
5/27/1986,0.0658,0.0679,0.0658,0.0679,29458
5/28/1986,0.068,0.0701,0.068,0.0701,32970
5/29/1986,0.0701,0.0727,0.0696,0.0717,97027
5/30/1986,0.0722,0.0754,0.0722,0.0743,57483
6/2/1986,0.0743,0.0743,0.0722,0.0722,41877
6/3/1986,0.0722,0.0722,0.0711,0.0722,10637
6/4/1986,0.0723,0.0727,0.0711,0.0717,10033
6/5/1986,0.0717,0.0727,0.0711,0.0727,29104
6/6/1986,0.0727,0.0727,0.0717,0.0727,7276
6/9/1986,0.0727,0.0727,0.0695,0.0695,26895
6/10/1986,0.0695,0.0695,0.0685,0.0695,7274
6/11/1986,0.0695,0.0695,0.0685,0.0695,4890
6/12/1986,0.0695,0.0695,0.0663,0.0669,29108
6/13/1986,0.0669,0.0674,0.0663,0.0669,16756
6/16/1986,0.0668,0.0673,0.0658,0.0663,20348
6/17/1986,0.0669,0.0685,0.0669,0.0674,27767
6/18/1986,0.0674,0.0674,0.0658,0.0669,9234
6/19/1986,0.0668,0.0673,0.0658,0.0663,17965
6/20/1986,0.0664,0.0669,0.0664,0.0666,8073
6/23/1986,0.0666,0.0674,0.0653,0.0674,98103
6/24/1986,0.0674,0.0679,0.0663,0.0669,30943
6/25/1986,0.0669,0.0674,0.0658,0.0658,32350
6/26/1986,0.0658,0.0663,0.0637,0.0637,40653
6/27/1986,0.0638,0.0642,0.0626,0.0632,22086
6/30/1986,0.0632,0.0669,0.0626,0.0653,132373
7/1/1986,0.0653,0.0653,0.0647,0.0653,101007
7/2/1986,0.0653,0.0653,0.0647,0.0653,111707
7/3/1986,0.0658,0.0668,0.0658,0.0663,30003
7/7/1986,0.0663,0.0663,0.0637,0.0637,29833
7/8/1986,0.0637,0.0637,0.0615,0.0621,30255
7/9/1986,0.0621,0.0621,0.0589,0.0594,97900
7/10/1986,0.0594,0.0599,0.0552,0.0578,99470
7/11/1986,0.0578,0.0605,0.0578,0.0594,36911
7/14/1986,0.0578,0.0599,0.0578,0.0586,60678
7/15/1986,0.0586,0.0605,0.0578,0.0594,27989
7/16/1986,0.06,0.0616,0.06,0.0616,19881
7/17/1986,0.0616,0.0626,0.061,0.0626,14733
7/18/1986,0.0626,0.0638,0.0611,0.0632,26185
7/21/1986,0.0632,0.0642,0.0632,0.0632,7464
7/22/1986,0.0632,0.0653,0.0632,0.0653,22317
7/23/1986,0.0653,0.0663,0.0637,0.0637,44138
7/24/1986,0.0648,0.0669,0.0648,0.0658,30026
7/25/1986,0.0658,0.0668,0.0658,0.0663,43385
7/28/1986,0.0663,0.0663,0.0647,0.0647,25049
7/29/1986,0.0648,0.0653,0.0622,0.0632,29856
7/30/1986,0.0631,0.0631,0.0589,0.061,56049
7/31/1986,0.061,0.0615,0.0605,0.0605,33183
8/1/1986,0.0606,0.061,0.0594,0.06,27401
8/4/1986,0.06,0.06,0.0584,0.06,26422
8/5/1986,0.06,0.0605,0.0594,0.0594,5989
8/6/1986,0.0594,0.0599,0.0578,0.0589,38859
8/7/1986,0.059,0.0594,0.0578,0.0584,7766
8/8/1986,0.0584,0.0599,0.0584,0.0589,8798
8/11/1986,0.06,0.0616,0.06,0.061,16870
8/12/1986,0.061,0.0626,0.061,0.0626,21213
8/13/1986,0.0626,0.0632,0.0622,0.0632,14622
8/14/1986,0.0631,0.0652,0.0631,0.0647,42706
8/15/1986,0.0648,0.0653,0.0642,0.065,12963
8/18/1986,0.065,0.0653,0.0642,0.0642,27147
8/19/1986,0.0642,0.0645,0.0632,0.0642,43289
8/20/1986,0.0642,0.0642,0.0637,0.0637,44076
8/21/1986,0.0637,0.0647,0.0637,0.0637,105148
8/22/1986,0.0637,0.0642,0.0616,0.0626,12227
8/25/1986,0.0626,0.0626,0.0616,0.0626,5135
8/26/1986,0.0626,0.0626,0.0621,0.0621,23043
8/27/1986,0.0621,0.0626,0.0615,0.0621,20231
8/28/1986,0.0621,0.0626,0.0621,0.0621,7274
8/29/1986,0.0621,0.0626,0.0594,0.0605,53961
9/2/1986,0.0605,0.0605,0.0581,0.0589,11059
9/3/1986,0.0584,0.0584,0.0557,0.0574,38919
9/4/1986,0.0584,0.0621,0.0584,0.0621,83676
9/5/1986,0.0621,0.0647,0.0615,0.0647,55902
9/8/1986,0.0648,0.0653,0.0642,0.0642,20422
9/9/1986,0.0642,0.0669,0.0642,0.0653,79668
9/10/1986,0.0653,0.0658,0.0642,0.0642,23112
9/11/1986,0.0642,0.0648,0.0616,0.0616,75731
9/12/1986,0.0616,0.0621,0.06,0.06,51927
9/15/1986,0.06,0.061,0.0589,0.061,47736
9/16/1986,0.061,0.0616,0.06,0.061,11002
9/17/1986,0.061,0.0637,0.0605,0.0626,17056
9/18/1986,0.0626,0.0642,0.0626,0.0632,11380
9/19/1986,0.0632,0.0638,0.0626,0.0632,5323
9/22/1986,0.0632,0.0632,0.0626,0.0626,9537
9/23/1986,0.0626,0.0642,0.0626,0.0637,12654
9/24/1986,0.0637,0.0637,0.0626,0.0629,10147
9/25/1986,0.0629,0.0632,0.0616,0.0616,10950
9/26/1986,0.0616,0.0622,0.061,0.0616,4955
9/29/1986,0.0616,0.0616,0.06,0.06,13150
9/30/1986,0.06,0.061,0.06,0.06,11009
10/1/1986,0.06,0.061,0.0584,0.0594,68811
10/2/1986,0.0594,0.0605,0.0589,0.0594,48217
10/3/1986,0.0594,0.0606,0.0594,0.06,31254
10/6/1986,0.0615,0.0657,0.0615,0.0647,181026
10/7/1986,0.0648,0.0674,0.0648,0.0661,126941
10/8/1986,0.0661,0.0687,0.0653,0.0679,253815
10/9/1986,0.068,0.0717,0.068,0.0701,196598
10/10/1986,0.07,0.0748,0.0689,0.0732,162836
10/13/1986,0.0733,0.0733,0.0701,0.0701,57621
10/14/1986,0.0706,0.0717,0.0706,0.0711,27327
10/15/1986,0.0711,0.0749,0.0711,0.0743,134902
10/16/1986,0.0743,0.0749,0.0738,0.0743,46415
10/17/1986,0.0743,0.077,0.0743,0.0764,264100
10/20/1986,0.0764,0.078,0.0749,0.077,92473
10/21/1986,0.0775,0.0802,0.0775,0.0802,238704
10/22/1986,0.0802,0.081,0.0796,0.0802,115926
10/23/1986,0.0802,0.0807,0.0794,0.0802,149633
10/24/1986,0.0802,0.0802,0.0775,0.0796,215201
10/27/1986,0.0801,0.0822,0.0801,0.0822,266646
10/28/1986,0.0822,0.0854,0.0822,0.0841,302723
10/29/1986,0.0841,0.0843,0.0806,0.0817,112926
10/30/1986,0.0817,0.0843,0.0812,0.0833,94179
