date,open,high,low,close,volume
1/22/1999,0.0401,0.0448,0.0356,0.0376,5186596
1/25/1999,0.0405,0.042,0.0376,0.0415,974288
1/26/1999,0.042,0.0428,0.0377,0.0383,655131
1/27/1999,0.0385,0.0394,0.0363,0.0382,466929
1/28/1999,0.0382,0.0385,0.0379,0.0381,434642
1/29/1999,0.0381,0.0382,0.0363,0.0363,466033
2/1/1999,0.0363,0.0373,0.0363,0.037,295541
2/2/1999,0.0363,0.0372,0.033,0.0341,503673
2/3/1999,0.0337,0.0354,0.0335,0.0349,143733
2/4/1999,0.0354,0.0378,0.0349,0.0368,347810
2/5/1999,0.0373,0.0381,0.0363,0.0378,260939
2/8/1999,0.0381,0.0381,0.0365,0.0365,294015
2/9/1999,0.0373,0.0375,0.0346,0.0351,166060
2/10/1999,0.0351,0.036,0.0341,0.0347,282727
2/11/1999,0.0348,0.0391,0.0348,0.0377,252402
2/12/1999,0.0382,0.0401,0.0382,0.0399,209681
2/16/1999,0.0406,0.0423,0.036,0.0401,402925
2/17/1999,0.0392,0.0397,0.0373,0.038,129512
2/18/1999,0.0392,0.0397,0.0375,0.0386,135215
2/19/1999,0.0382,0.0406,0.0377,0.0399,144007
2/22/1999,0.0406,0.0411,0.0379,0.0401,391926
2/23/1999,0.041,0.0428,0.0387,0.042,263542
2/24/1999,0.0482,0.0502,0.0443,0.0454,1170861
2/25/1999,0.0472,0.0487,0.0432,0.0439,284754
2/26/1999,0.0444,0.0458,0.0415,0.0419,329699
3/1/1999,0.043,0.0439,0.0401,0.0421,175913
3/2/1999,0.0421,0.0423,0.0411,0.0418,105624
3/3/1999,0.042,0.042,0.0387,0.0389,117204
3/4/1999,0.0409,0.0411,0.0377,0.0381,109578
3/5/1999,0.0384,0.0403,0.0384,0.0402,150269
3/8/1999,0.0391,0.042,0.0384,0.0408,144792
3/9/1999,0.0407,0.0427,0.0407,0.0421,273306
3/10/1999,0.0426,0.0427,0.0408,0.0414,449080
3/11/1999,0.0407,0.0414,0.0396,0.0396,103555
3/12/1999,0.0399,0.0399,0.0382,0.0389,173286
3/15/1999,0.0399,0.0411,0.0397,0.0406,208000
3/16/1999,0.0409,0.0413,0.0389,0.0393,151238
3/17/1999,0.0396,0.0403,0.0385,0.0395,98063
3/18/1999,0.0397,0.0406,0.0387,0.04,88532
3/19/1999,0.0399,0.0413,0.0399,0.0401,201096
3/22/1999,0.0409,0.0411,0.0389,0.0389,70011
3/23/1999,0.0391,0.0391,0.0358,0.0365,312883
3/24/1999,0.0363,0.0365,0.0348,0.0363,116233
3/25/1999,0.0362,0.0382,0.0361,0.0368,77087
3/26/1999,0.0373,0.0401,0.0373,0.04,168716
3/29/1999,0.0412,0.0422,0.0405,0.0412,126077
3/30/1999,0.0413,0.0416,0.0375,0.0377,132660
3/31/1999,0.0389,0.0408,0.0371,0.0403,293091
4/1/1999,0.0404,0.0406,0.0385,0.0392,58203
4/5/1999,0.0387,0.0397,0.0378,0.038,188623
4/6/1999,0.0383,0.0385,0.0363,0.037,133145
4/7/1999,0.0373,0.0403,0.037,0.0401,170482
4/8/1999,0.0403,0.042,0.0398,0.0408,248280
4/9/1999,0.0411,0.0411,0.0399,0.0401,92849
4/12/1999,0.0396,0.0396,0.0377,0.0384,63527
4/13/1999,0.0391,0.0391,0.0363,0.0369,69033
4/14/1999,0.0368,0.0376,0.0358,0.0358,92227
4/15/1999,0.0368,0.0368,0.0358,0.0368,68553
4/16/1999,0.0366,0.0386,0.0366,0.038,74440
4/19/1999,0.0385,0.0385,0.0358,0.0363,59767
4/20/1999,0.0363,0.0378,0.0352,0.0356,129371
4/21/1999,0.0356,0.0363,0.0354,0.0362,71666
4/22/1999,0.0363,0.0363,0.0342,0.0346,433806
4/23/1999,0.0345,0.0345,0.0327,0.0329,240321
4/26/1999,0.033,0.0335,0.0306,0.0313,236173
4/27/1999,0.032,0.0348,0.0315,0.0346,433348
4/28/1999,0.0349,0.0349,0.0333,0.0344,229517
4/29/1999,0.0345,0.0346,0.0337,0.0344,92008
4/30/1999,0.0348,0.0364,0.0346,0.0349,190021
5/3/1999,0.0352,0.0352,0.0341,0.0351,64610
5/4/1999,0.0351,0.0351,0.0325,0.0332,183517
5/5/1999,0.0334,0.0339,0.0315,0.0339,275964
5/6/1999,0.0336,0.0343,0.0322,0.0332,67957
5/7/1999,0.0322,0.0336,0.0322,0.0334,47740
5/10/1999,0.0332,0.0341,0.0332,0.0334,37569
5/11/1999,0.0348,0.0363,0.0341,0.0352,327983
5/12/1999,0.0356,0.0364,0.0351,0.0363,321750
5/13/1999,0.0363,0.0373,0.0362,0.0363,133558
5/14/1999,0.0363,0.0363,0.0339,0.0344,54398
5/17/1999,0.0339,0.036,0.0338,0.036,68244
5/18/1999,0.0364,0.0382,0.0353,0.0377,289232
5/19/1999,0.0393,0.0408,0.0354,0.036,862076
5/20/1999,0.0363,0.0363,0.0319,0.0332,340437
5/21/1999,0.0328,0.0328,0.0316,0.0325,580501
5/24/1999,0.0327,0.0334,0.0318,0.0323,310007
5/25/1999,0.0325,0.033,0.0322,0.0326,248512
5/26/1999,0.0325,0.0342,0.0325,0.0325,200325
5/27/1999,0.0327,0.0327,0.0322,0.0322,157107
5/28/1999,0.0327,0.0327,0.0322,0.0326,169373
6/1/1999,0.0324,0.0327,0.032,0.0327,188048
6/2/1999,0.0327,0.0327,0.0315,0.0315,248246
6/3/1999,0.0323,0.0325,0.0319,0.0323,79240
6/4/1999,0.0326,0.0327,0.0324,0.0326,150758
6/7/1999,0.0327,0.0334,0.0327,0.0329,238582
6/8/1999,0.0331,0.0344,0.033,0.0338,292964
6/9/1999,0.0339,0.0351,0.0339,0.0344,181907
6/10/1999,0.0344,0.0346,0.0341,0.0345,68908
6/11/1999,0.0345,0.0346,0.0326,0.0338,116580
6/14/1999,0.0339,0.034,0.0323,0.0325,98785
6/15/1999,0.0325,0.0328,0.032,0.0325,94287
6/16/1999,0.0329,0.0344,0.0324,0.0334,122971
6/17/1999,0.0332,0.0337,0.0325,0.0325,143312
6/18/1999,0.0328,0.0328,0.0313,0.0313,303546
6/21/1999,0.0322,0.0329,0.0313,0.0329,159146
6/22/1999,0.0329,0.0329,0.0316,0.0323,368019
6/23/1999,0.0319,0.0329,0.0316,0.0329,402121
6/24/1999,0.0332,0.0332,0.032,0.0322,219858
6/25/1999,0.032,0.033,0.032,0.0327,140326
6/28/1999,0.0338,0.0338,0.0325,0.0332,208555
6/29/1999,0.0336,0.034,0.0331,0.0335,176744
6/30/1999,0.0346,0.0365,0.0339,0.0365,513748
7/1/1999,0.0365,0.0365,0.0327,0.0346,169929
7/2/1999,0.0351,0.0371,0.0344,0.0371,429169
7/6/1999,0.0374,0.0374,0.0367,0.0372,377674
7/7/1999,0.0375,0.0375,0.0365,0.0365,120445
7/8/1999,0.0368,0.038,0.0356,0.0374,355736
7/9/1999,0.0372,0.0408,0.0372,0.0405,404175
7/12/1999,0.043,0.0442,0.0413,0.0424,766779
7/13/1999,0.0429,0.0431,0.0406,0.0425,265270
7/14/1999,0.0424,0.0434,0.0405,0.0408,263208
7/15/1999,0.0412,0.0425,0.0411,0.0411,261921
7/16/1999,0.0418,0.0423,0.0411,0.0419,198406
7/19/1999,0.042,0.0421,0.0405,0.0408,83248
7/20/1999,0.0408,0.0408,0.0387,0.0401,341331
7/21/1999,0.0396,0.0396,0.0377,0.0389,213973
7/22/1999,0.0387,0.0387,0.0367,0.0371,407001
7/23/1999,0.037,0.0382,0.037,0.0371,153163
7/26/1999,0.038,0.038,0.0372,0.0372,117320
7/27/1999,0.0373,0.0375,0.0368,0.0374,188514
7/28/1999,0.0373,0.0385,0.0372,0.038,467014
7/29/1999,0.0372,0.0384,0.037,0.0383,742177
7/30/1999,0.0383,0.0393,0.0381,0.0384,862558
8/2/1999,0.0385,0.0389,0.0382,0.0388,598786
8/3/1999,0.0387,0.0387,0.0374,0.0378,486640
8/4/1999,0.038,0.0381,0.0377,0.0378,171519
8/5/1999,0.0378,0.0384,0.0372,0.0384,458786
8/6/1999,0.0383,0.0385,0.0381,0.0384,350863
8/9/1999,0.0385,0.0389,0.0381,0.0384,59225
8/10/1999,0.0387,0.0409,0.0385,0.0392,405587
8/11/1999,0.0397,0.0423,0.0394,0.0418,377989
8/12/1999,0.042,0.0449,0.0417,0.0438,457426
8/13/1999,0.0439,0.0443,0.043,0.0433,161653
8/16/1999,0.0437,0.0437,0.0403,0.0417,427092
8/17/1999,0.0418,0.0425,0.0407,0.0418,370006
8/18/1999,0.0413,0.0432,0.0405,0.0427,534299
8/19/1999,0.0457,0.0542,0.0442,0.0518,3757011
8/20/1999,0.0519,0.0523,0.0494,0.0513,673862
8/23/1999,0.0506,0.0506,0.0466,0.0482,969773
8/24/1999,0.0475,0.0485,0.0451,0.048,760389
8/25/1999,0.048,0.0485,0.0458,0.0477,668257
8/26/1999,0.0477,0.0484,0.0463,0.047,525612
8/27/1999,0.048,0.0516,0.0478,0.0497,1056228
8/30/1999,0.0506,0.0515,0.0474,0.0495,303239
8/31/1999,0.0496,0.0539,0.0487,0.0537,1502225
9/1/1999,0.0537,0.0537,0.0504,0.0512,1079737
9/2/1999,0.0495,0.0508,0.0484,0.0506,651383
9/3/1999,0.0516,0.0523,0.0506,0.051,494681
9/7/1999,0.0518,0.0518,0.0505,0.0507,237424
9/8/1999,0.0508,0.0512,0.0506,0.0506,324775
9/9/1999,0.0511,0.0514,0.0489,0.0499,399933
9/10/1999,0.0507,0.0513,0.0504,0.0506,319733
